playerID,G,AB,R,H,HR,RBI,SB,BB,SO,seasons,BA,OBP,HR_rate,K_rate,inducted
broutda01,1676,6726,1529,2303,107,1301.0,257.0,840,238.0,19,0.3424026167112697,0.415411049431668,0.01590841510556051,0.035385072851620576,1
brownga01,1051,2262,330,582,84,322.0,30.0,242,275.0,13,0.2572944297082228,0.329073482428115,0.03713527851458886,0.12157382847038019,0
brownla01,1129,3449,331,803,47,254.0,22.0,317,414.0,12,0.23282110756741084,0.29739776951672864,0.0136271383009568,0.12003479269353436,0
brownmo01,493,1143,93,235,2,74.0,8.0,44,199.0,14,0.20559930008748906,0.2350463352990733,0.0017497812773403325,0.17410323709536307,1
brownpe01,1183,4820,954,1646,46,659.0,258.0,466,245.0,13,0.34149377593360997,0.3995459704880817,0.009543568464730291,0.0508298755186722,0
brownra99,465,1360,212,366,33,224.0,10.0,132,20.0,15,0.2691176470588235,0.33378016085790885,0.02426470588235294,0.014705882352941176,1
brownwi02,473,1818,368,643,63,432.0,95.0,137,16.0,13,0.3536853685368537,0.3989769820971867,0.034653465346534656,0.0088008800880088,1
brutobi01,1610,6056,937,1651,94,545.0,207.0,482,793.0,12,0.27262219286657857,0.3262465585806057,0.015521796565389696,0.13094451783355351,0
bucknbi01,2517,9397,1077,2715,174,1208.0,183.0,450,453.0,22,0.288921996381824,0.32141769066720827,0.01851654783441524,0.04820687453442588,0
buffich01,586,2214,245,543,7,255.0,14.0,91,114.0,11,0.24525745257452575,0.27505422993492407,0.0031616982836495033,0.051490514905149054,0
buhneja01,1472,5013,797,1273,310,965.0,6.0,792,1406.0,15,0.25393975663275486,0.35572782084409993,0.0618392180331139,0.28047077598244563,0
bumbral01,1496,5053,778,1422,54,402.0,254.0,471,709.0,14,0.28141698001187415,0.3426864590876177,0.010686720759944587,0.14031268553334653,0
bunniji01,601,1275,82,213,7,75.0,0.0,34,362.0,17,0.16705882352941176,0.18869365928189458,0.005490196078431373,0.283921568627451,1
burdele01,666,1011,101,185,12,75.0,2.0,32,271.0,18,0.18298714144411474,0.2080536912751678,0.011869436201780416,0.26805143422354105,0
